exercise,subject_id
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E0,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
E1,S1
